data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9284114,706,SOM36057,36057,6-Feb-22,2022,1,Battles,Armed clash,Military Forces of Somalia (2017-2022) Special Forces,,1,Al Shabaab,,2,12,Eastern Africa,Somalia,Lower Juba,Jamaame,,Kobon,0.0356,42.7091,2,SOM Media (Somalia); Radio Risala; Radio Dalsan,National,"On 6 February 2022, government security forces (Danab/Bancroft) in an operation clashed with Al Shabaab militants hideouts in Musa Haji and Kobon village (Jamaame, Lower Juba) Sunguuni and Araara villages (coded separately). Seven militants were killed. Fatalities spilt to three events.",3,1653348292,SOM
9284115,706,SOM36058,36058,6-Feb-22,2022,1,Battles,Armed clash,Military Forces of Somalia (2017-2022) Special Forces,,1,Al Shabaab,,2,12,Eastern Africa,Somalia,Lower Juba,Jamaame,,Araara,0.0263,42.6829,1,SOM Media (Somalia); Radio Risala; Radio Dalsan,National,"On 6 February 2022, government security forces (Danab/Bancroft) in an operation clashed with Al Shabaab militants hideouts in Araara village (Jamaame, Lower Juba) Musa Haji, Koban and Sunguuni villages (coded separately). Seven militants were killed. Fatalities spilt to three events.",2,1653348292,SOM
9284116,706,SOM36061,36061,6-Feb-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-2022),,1,12,Eastern Africa,Somalia,Lower Shabelle,Baraawe,,Baraawe,1.1132,44.0297,1,Undisclosed Source; Calamada,Local partner-Other,"On 6 February 2022, Al Shabaab militants shot and killed a government soldier (SNA) in Baraawe town (Baraawe, Lower Shabelle). The militants stole the AK-47 of the soldier. Al Shabaab claimed responsibility.",1,1653348292,SOM
9284313,728,SSD8262,8262,6-Feb-22,2022,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Upper Nile,Longochuk,Malual,Mathiang,9.0104,33.4984,2,Juba Monitor; Sudans Post; Eye Radio (South Sudan); VOA,National-International,"On 6 February 2022, SPLM-IO loyalists alleged that forces under the command of Lt. Gen. James Khor Chuol (who defected to the SSPDF) attacked their positions near Mathiang town (Longochuk county, Upper Nile state), and claimed to have killed at least 10 of the attacking force (who are coded as SSPDF) and to have wounded (and captured) an unspecified number of soldiers. There is no information on casualties on the IO side. IO communiques have described James Khor Chuol's forces as being part of the Kitgweng faction of the IO, though this is not accurate. In addition to these reports, there are allegations of IO loyalist attacks in the areas Malou, Jongjith and Wechlual, those these are not verified.",10,1653348293,SSD
9284736,706,SOM36059,36059,6-Feb-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-2022) Jubaland Security Force,,1,12,Eastern Africa,Somalia,Lower Juba,Kismaayo,,Buulo Gaduud,-0.074,42.5719,1,Al Furqaan,National,"On 6 February 2022, overnight, Al Shabaab militants carried out a hit and run attack against Jubaland security forces at a base in Buulo Gaduud village (Kismaayo, Lower Juba). There were no casualties. Al Shabaab claimed responsibility.",0,1653348294,SOM
9284804,706,SOM36049,36049,6-Feb-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-2022),,1,12,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Daynile,2.0581,45.3003,1,Al Furqaan,National,"On 6 February 2022, overnight, Al Shabaab militants threw a hand grenade against government security forces (SNA) at the Tabelaha Weydow village neighborhood in Mogadishu - Daynile (Banadir). The security forces opened gunfire to different directions after the explosion. There were no casualties.",0,1653348295,SOM
9284814,706,SOM36060,36060,6-Feb-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-2022),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Awdheegle,1.9833,44.8333,1,Al Furqaan,National,"On 6 February 2022, overnight, Al Shabaab militants carried out a hit and run attack against government security forces (SNA) base in Awdheegle village (Afgooye, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,1653348295,SOM
9287877,706,SOM36051,36051,6-Feb-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-2022),,1,12,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Hodan,2.0333,45.35,1,Undisclosed Source,Local partner-Other,"On 6 February 2022, overnight, Al Shabaab militants shot and killed a government soldier (SNA) in Mogadishu - Hodan (Banadir). The militants stole the AK-47 of the soldier. Al Shabaab claimed responsibility.",1,1653348305,SOM
9288839,706,SOM36052,36052,6-Feb-22,2022,1,Battles,Armed clash,Military Forces of Somalia (2017-2022),,1,Military Forces of Somalia (2017-2022) National Intelligence and Security Agency,,1,11,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Wadajir,2.0462,45.3341,1,Undisclosed Source,Local partner-Other,"On 6 February 2022, government soldier (SNA) shot and killed a government soldier (NISA) in Mogadishu - Wadajir (Banadir). The motive is unknown.",1,1653348308,SOM
9289072,706,SOM36066,36066,6-Feb-22,2022,1,Violence against civilians,Attack,Military Forces of Somalia (2017-2022),,1,Civilians (Somalia),Taxi Drivers (Somalia),7,17,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Belet Weyne,4.736,45.2043,1,Undisclosed Source,Local partner-Other,"On 6 February 2022, government soldier (SNA) shot and killed a rickshaw driver at the Suqa-balka area in Kooshin village neighborhood in Belet Weyne town (Belet Weyne, Hiraan). This is after the driver refused to stop at the signal from the forces and broke the curfew imposed by the administration.",1,1653348308,SOM
